"","genes","dataType","growthPhase","test_for","exist_in"
"514","yahJ","protein","Exp","Gly","controlled for Growth"
"515","ydjN","protein","Exp","Gly","controlled for Growth"
"516","insG","protein","Exp","Gly","controlled for Growth"
"517","torT","protein","Exp","Gly","controlled for Growth"
"518","yegH","protein","Exp","Gly","controlled for Growth"
"519","rpsQ","protein","Exp","Gly","controlled for Growth"
"520","ptsA","protein","Exp","Gly","controlled for Growth"
"521","yegE","protein","Exp","Gly","controlled for Growth"
"522","chiA","protein","Exp","Gly","controlled for Growth"
"523","recC","protein","Exp","Gly","controlled for Growth"
"524","yegI","protein","Exp","Gly","controlled for Growth"
"525","ttdA","protein","Exp","Gly","controlled for Growth"
"526","uhpA","protein","Exp","Gly","controlled for Growth"
"527","rpmF","protein","Exp","Gly","controlled for Growth"
"528","dos","protein","Exp","Gly","controlled for Growth"
"529","fdhF","protein","Exp","Gly","controlled for Growth"
"530","dinG","protein","Exp","Gly","controlled for Growth"
"531","yfgF","protein","Exp","Gly","controlled for Growth"
"532","ydhT","protein","Exp","Gly","controlled for Growth"
"533","yphC","protein","Exp","Gly","controlled for Growth"
"534","nuoL","protein","Exp","Gly","controlled for Growth"
"535","eaeH","protein","Exp","Gly","controlled for Growth"
"536","ybdL","protein","Exp","Gly","controlled for Growth"
"537","frr","protein","Exp","Gly","controlled for Growth"
"538","fhlA","protein","Exp","Gly","controlled for Growth"
"539","degQ","protein","Exp","Gly","controlled for Growth"
"540","ygfM","protein","Exp","Gly","controlled for Growth"
"541","purE","protein","Exp","Gly","controlled for Growth"
"542","ssnA","protein","Exp","Gly","controlled for Growth"
"543","yihF","protein","Exp","Gly","controlled for Growth"
"544","ycdY","protein","Exp","Gly","controlled for Growth"
"545","solA","protein","Exp","Gly","controlled for Growth"
"546","ysgA","protein","Exp","Gly","controlled for Growth"
"547","yjgI","protein","Exp","Gly","controlled for Growth"
"548","cls","protein","Exp","Gly","controlled for Growth"
"549","dnaK","protein","Exp","Gly","controlled for Growth"
"550","yniC","protein","Exp","Gly","controlled for Growth"
"551","cheY","protein","Exp","Gly","controlled for Growth"
"552","kdpD","protein","Exp","Gly","controlled for Growth"
"553","ybjL","protein","Exp","Gly","controlled for Growth"
"554","ydgB","protein","Exp","Gly","controlled for Growth"
"555","flhA","protein","Exp","Gly","controlled for Growth"
"556","yfeT","protein","Exp","Gly","controlled for Growth"
"557","eutL","protein","Exp","Gly","controlled for Growth"
"558","recA","protein","Exp","Gly","controlled for Growth"
"559","norV","protein","Exp","Gly","controlled for Growth"
"560","ygbK","protein","Exp","Gly","controlled for Growth"
"561","yggV","protein","Exp","Gly","controlled for Growth"
"562","yqiH","protein","Exp","Gly","controlled for Growth"
"563","yraJ","protein","Exp","Gly","controlled for Growth"
"564","rtcR","protein","Exp","Gly","controlled for Growth"
"565","yhjJ","protein","Exp","Gly","controlled for Growth"
"566","rpmG","protein","Exp","Gly","controlled for Growth"
"567","uvrD","protein","Exp","Gly","controlled for Growth"
"568","yihQ","protein","Exp","Gly","controlled for Growth"
"569","yjeI","protein","Exp","Gly","controlled for Growth"
"570","lacZ","protein","Exp","Gly","controlled for Growth"
"571","hipA","protein","Exp","Gly","controlled for Growth"
"572","dnaJ","protein","Exp","Gly","controlled for Growth"
"573","hpaB","protein","Exp","Gly","controlled for Growth"
"574","insL-1","protein","Exp","Gly","controlled for Growth"
"575","yliB","protein","Exp","Gly","controlled for Growth"
"576","tdcG","protein","Exp","Gly","controlled for Growth"
"577","ybjR","protein","Exp","Gly","controlled for Growth"
"578","rhsA","protein","Exp","Gly","controlled for Growth"
"579","ycgL","protein","Exp","Gly","controlled for Growth"
"580","ptrB","protein","Exp","Gly","controlled for Growth"
"581","fucO","protein","Exp","Gly","controlled for Growth"
"582","tdh","protein","Exp","Gly","controlled for Growth"
"583","ynjB","protein","Exp","Gly","controlled for Growth"
"584","ydhO","protein","Exp","Gly","controlled for Growth"
"585","queF","protein","Exp","Gly","controlled for Growth"
"586","frvR","protein","Exp","Gly","controlled for Growth"
"587","grpE","protein","Exp","Gly","controlled for Growth"
"588","deoB","protein","Exp","Gly","controlled for Growth"
"589","wza","protein","Exp","Gly","controlled for Growth"
"590","manC","protein","Exp","Gly","controlled for Growth"
"591","ygfK","protein","Exp","Gly","controlled for Growth"
"592","ybgG","protein","Exp","Gly","controlled for Growth"
"593","yqiK","protein","Exp","Gly","controlled for Growth"
"594","ycfQ","protein","Exp","Gly","controlled for Growth"
"595","yhaK","protein","Exp","Gly","controlled for Growth"
"596","garK","protein","Exp","Gly","controlled for Growth"
"597","menF","protein","Exp","Gly","controlled for Growth"
"598","xdhA","protein","Exp","Gly","controlled for Growth"
"599","nrfA","protein","Exp","Gly","controlled for Growth"
"600","yibJ","protein","Exp","Gly","controlled for Growth"
"601","alsA","protein","Exp","Gly","controlled for Growth"
"602","allD","protein","Exp","Gly","controlled for Growth"
"603","accA","protein","Exp","Gly","controlled for Growth"
"604","yphF","protein","Exp","Gly","controlled for Growth"
"605","rplW","protein","Exp","Gly","controlled for Growth"
"606","ybhH","protein","Exp","Gly","controlled for Growth"
"607","damX","protein","Exp","Gly","controlled for Growth"
"608","argB","protein","Exp","Gly","controlled for Growth"
"609","yjgL","protein","Exp","Gly","controlled for Growth"
"610","hofB","protein","Exp","Gly","controlled for Growth"
"611","ybjQ","protein","Exp","Gly","controlled for Growth"
"612","yejO","protein","Exp","Gly","controlled for Growth"
"613","sseB","protein","Exp","Gly","controlled for Growth"
"614","leuB","protein","Exp","Gly","controlled for Growth"
"615","fixC","protein","Exp","Gly","controlled for Growth"
"616","yneB","protein","Exp","Gly","controlled for Growth"
"617","lolB","protein","Exp","Gly","controlled for Growth"
"618","yfdW","protein","Exp","Gly","controlled for Growth"
"619","dacC","protein","Exp","Gly","controlled for Growth"
"620","ynfF","protein","Exp","Gly","controlled for Growth"
"621","speA","protein","Exp","Gly","controlled for Growth"
"622","spy","protein","Exp","Gly","controlled for Growth"
"623","prpC","protein","Exp","Gly","controlled for Growth"
"624","glxR","protein","Exp","Gly","controlled for Growth"
"625","yehM","protein","Exp","Gly","controlled for Growth"
"626","phnP","protein","Exp","Gly","controlled for Growth"
"627","pntB","protein","Exp","Gly","controlled for Growth"
"628","rus","protein","Exp","Gly","controlled for Growth"
"629","yhiJ","protein","Exp","Gly","controlled for Growth"
"630","yecJ","protein","Exp","Gly","controlled for Growth"
"631","asd","protein","Exp","Gly","controlled for Growth"
"632","yraI","protein","Exp","Gly","controlled for Growth"
"633","gph","protein","Exp","Gly","controlled for Growth"
"634","uhpB","protein","Exp","Gly","controlled for Growth"
"635","gpmB","protein","Exp","Gly","controlled for Growth"
"636","hcp","protein","Exp","Gly","controlled for Growth"
"637","epd","protein","Exp","Gly","controlled for Growth"
"638","argH","protein","Exp","Gly","controlled for Growth"
"639","yihS","protein","Exp","Gly","controlled for Growth"
"640","hscC","protein","Exp","Gly","controlled for Growth"
"641","yhgG","protein","Exp","Gly","controlled for Growth"
"642","hyfB","protein","Exp","Gly","controlled for Growth"
"643","yggE","protein","Exp","Gly","controlled for Growth"
"644","ycfF","protein","Exp","Gly","controlled for Growth"
"645","yecM","protein","Exp","Gly","controlled for Growth"
"646","hybD","protein","Exp","Gly","controlled for Growth"
"647","ykgC","protein","Exp","Gly","controlled for Growth"
"648","prpR","protein","Exp","Gly","controlled for Growth"
"649","yjjI","protein","Exp","Gly","controlled for Growth"
"650","citF","protein","Exp","Gly","controlled for Growth"
"651","atpH","protein","Exp","Gly","controlled for Growth"
"652","yaiL","protein","Exp","Gly","controlled for Growth"
"653","intB","protein","Exp","Gly","controlled for Growth"
"654","gpt","protein","Exp","Gly","controlled for Growth"
"655","cytR","protein","Exp","Gly","controlled for Growth"
"656","yhgE","protein","Exp","Gly","controlled for Growth"
"657","yfcI","protein","Exp","Gly","controlled for Growth"
"658","yggM","protein","Exp","Gly","controlled for Growth"
"659","ybeY","protein","Exp","Gly","controlled for Growth"
"660","stfR","protein","Exp","Gly","controlled for Growth"
"661","yedU","protein","Exp","Gly","controlled for Growth"
"662","yggF","protein","Exp","Gly","controlled for Growth"
"663","yicJ","protein","Exp","Gly","controlled for Growth"
"664","yphH","protein","Exp","Gly","controlled for Growth"
"665","rfbD","protein","Exp","Gly","controlled for Growth"
"666","yeaT","protein","Exp","Gly","controlled for Growth"
"667","ybiP","protein","Exp","Gly","controlled for Growth"
"668","leuC","protein","Exp","Gly","controlled for Growth"
"669","ycaN","protein","Exp","Gly","controlled for Growth"
"670","ygaG","protein","Exp","Gly","controlled for Growth"
"671","napA","protein","Exp","Gly","controlled for Growth"
"672","helD","protein","Exp","Gly","controlled for Growth"
"673","ymcC","protein","Exp","Gly","controlled for Growth"
"674","wcaL","protein","Exp","Gly","controlled for Growth"
"675","wcaJ","protein","Exp","Gly","controlled for Growth"
"676","pntA","protein","Exp","Gly","controlled for Growth"
"677","yfdX","protein","Exp","Gly","controlled for Growth"
"678","yecI","protein","Exp","Gly","controlled for Growth"
"679","galR","protein","Exp","Gly","controlled for Growth"
"680","ygfH","protein","Exp","Gly","controlled for Growth"
"681","lrhA","protein","Exp","Gly","controlled for Growth"
"682","eutB","protein","Exp","Gly","controlled for Growth"
"683","nikE","protein","Exp","Gly","controlled for Growth"
"684","ycbJ","protein","Exp","Gly","controlled for Growth"
"685","tyrA","protein","Exp","Gly","controlled for Growth"
"686","yhjN","protein","Exp","Gly","controlled for Growth"
"687","dhaL","protein","Exp","Gly","controlled for Growth"
"688","ampC","protein","Exp","Gly","controlled for Growth"
"689","ycfC","protein","Exp","Gly","controlled for Growth"
"690","yggR","protein","Exp","Gly","controlled for Growth"
"691","rhaD","protein","Exp","Gly","controlled for Growth"
"692","ligB","protein","Exp","Gly","controlled for Growth"
"693","aas","protein","Exp","Gly","controlled for Growth"
"694","gudX","protein","Exp","Gly","controlled for Growth"
"695","yibN","protein","Exp","Gly","controlled for Growth"
"696","creC","protein","Exp","Gly","controlled for Growth"
"697","sbcC","protein","Exp","Gly","controlled for Growth"
"698","ilvB","protein","Exp","Gly","controlled for Growth"
"699","nirB","protein","Exp","Gly","controlled for Growth"
"700","glk","protein","Exp","Gly","controlled for Growth"
"701","caiA","protein","Exp","Gly","controlled for Growth"
"702","ygfJ","protein","Exp","Gly","controlled for Growth"
"703","ybhA","protein","Exp","Gly","controlled for Growth"
"704","ybhJ","protein","Exp","Gly","controlled for Growth"
"705","ytfR","protein","Exp","Gly","controlled for Growth"
"706","yfcZ","protein","Exp","Gly","controlled for Growth"
"707","accB","protein","Exp","Gly","controlled for Growth"
"708","fepE","protein","Exp","Gly","controlled for Growth"
"709","phnJ","protein","Exp","Gly","controlled for Growth"
"710","purN","protein","Exp","Gly","controlled for Growth"
"711","hpaR","protein","Exp","Gly","controlled for Growth"
"712","betT","protein","Exp","Gly","controlled for Growth"
"713","ycbG","protein","Exp","Gly","controlled for Growth"
"714","flgF","protein","Exp","Gly","controlled for Growth"
"715","yhjG","protein","Exp","Gly","controlled for Growth"
"716","allB","protein","Exp","Gly","controlled for Growth"
"717","recE","protein","Exp","Gly","controlled for Growth"
"718","argG","protein","Exp","Gly","controlled for Growth"
"719","idnD","protein","Exp","Gly","controlled for Growth"
"720","potD","protein","Exp","Gly","controlled for Growth"
"721","plsX","protein","Exp","Gly","controlled for Growth"
"722","ygaF","protein","Exp","Gly","controlled for Growth"
"723","thiQ","protein","Exp","Gly","controlled for Growth"
"724","ygaE","protein","Exp","Gly","controlled for Growth"
"725","yfiB","protein","Exp","Gly","controlled for Growth"
"726","ygjK","protein","Exp","Gly","controlled for Growth"
"727","yiaD","protein","Exp","Gly","controlled for Growth"
"728","ydhS","protein","Exp","Gly","controlled for Growth"
"729","gadA","protein","Exp","Gly","controlled for Growth"
"730","purT","protein","Exp","Gly","controlled for Growth"
"731","yjfJ","protein","Exp","Gly","controlled for Growth"
"732","yafT","protein","Exp","Gly","controlled for Growth"
"733","flgC","protein","Exp","Gly","controlled for Growth"
"734","yfbE","protein","Exp","Gly","controlled for Growth"
"735","yphG","protein","Exp","Gly","controlled for Growth"
"736","fhuB","protein","Exp","Gly","controlled for Growth"
"737","yeiA","protein","Exp","Gly","controlled for Growth"
"738","hflK","protein","Exp","Gly","controlled for Growth"
"739","aer","protein","Exp","Gly","controlled for Growth"
"740","yfaA","protein","Exp","Gly","controlled for Growth"
"741","ygjQ","protein","Exp","Gly","controlled for Growth"
"742","nemA","protein","Exp","Gly","controlled for Growth"
"743","rtcB","protein","Exp","Gly","controlled for Growth"
"744","moeB","protein","Exp","Gly","controlled for Growth"
"745","fdnG","protein","Exp","Gly","controlled for Growth"
"746","yahI","protein","Exp","Gly","controlled for Growth"
"747","yeeX","protein","Exp","Gly","controlled for Growth"
"748","ybiW","protein","Exp","Gly","controlled for Growth"
"749","yidS","protein","Exp","Gly","controlled for Growth"
"750","tsr","protein","Exp","Gly","controlled for Growth"
"751","gcl","protein","Exp","Gly","controlled for Growth"
"752","yoaD","protein","Exp","Gly","controlled for Growth"
"753","yfdC","protein","Exp","Gly","controlled for Growth"
"754","yhiV","protein","Exp","Gly","controlled for Growth"
"755","hcaD","protein","Exp","Gly","controlled for Growth"
"756","ydiN","protein","Exp","Gly","controlled for Growth"
"757","phoH","protein","Exp","Gly","controlled for Growth"
"758","yciS","protein","Exp","Gly","controlled for Growth"
"759","yfhK","protein","Exp","Gly","controlled for Growth"
"760","infC","protein","Exp","Gly","controlled for Growth"
"761","wcaM","protein","Exp","Gly","controlled for Growth"
"762","bax","protein","Exp","Gly","controlled for Growth"
"763","mgsA","protein","Exp","Gly","controlled for Growth"
"764","trg","protein","Exp","Gly","controlled for Growth"
"765","ygbD","protein","Exp","Gly","controlled for Growth"
